usefulCount,sideEffects,rating
22,Mild Side Effects,5
17,Severe Side Effects,4
3,No Side Effects,5
35,Mild Side Effects,5
4,Severe Side Effects,5
13,Severe Side Effects,2
1,Mild Side Effects,3
32,No Side Effects,5
21,No Side Effects,4
3,Extremely Severe Side Effects,1
17,Moderate Side Effects,1
7,Moderate Side Effects,3
57,Mild Side Effects,1
19,Mild Side Effects,5
44,Severe Side Effects,1
14,No Side Effects,5
26,No Side Effects,5
1,Severe Side Effects,2
24,Mild Side Effects,3
9,No Side Effects,5
15,Moderate Side Effects,1
43,Mild Side Effects,5
27,Moderate Side Effects,1
17,Moderate Side Effects,1
10,Mild Side Effects,5
18,Moderate Side Effects,3
47,No Side Effects,5
38,Mild Side Effects,4
19,Severe Side Effects,5
1,Mild Side Effects,4
4,Mild Side Effects,5
19,Mild Side Effects,5
15,Mild Side Effects,4
24,Mild Side Effects,1
21,Mild Side Effects,3
42,Mild Side Effects,2
32,Severe Side Effects,5
0,Mild Side Effects,4
32,No Side Effects,5
12,No Side Effects,2
55,Mild Side Effects,5
75,Mild Side Effects,4
20,No Side Effects,5
6,Mild Side Effects,1
21,No Side Effects,4
4,Mild Side Effects,5
4,Mild Side Effects,1
49,Moderate Side Effects,4
20,Mild Side Effects,3
2,No Side Effects,2
0,No Side Effects,2
5,No Side Effects,1
7,Mild Side Effects,5
7,Mild Side Effects,3
7,Moderate Side Effects,5
104,No Side Effects,3
75,Mild Side Effects,5
14,Moderate Side Effects,4
57,Severe Side Effects,1
32,Mild Side Effects,4
16,Mild Side Effects,1
3,Severe Side Effects,5
36,No Side Effects,1
13,No Side Effects,1
22,No Side Effects,1
26,Moderate Side Effects,4
125,Mild Side Effects,5
51,Mild Side Effects,1
33,Mild Side Effects,5
0,No Side Effects,1
4,Moderate Side Effects,2
88,No Side Effects,5
5,Moderate Side Effects,4
18,Mild Side Effects,1
4,No Side Effects,1
228,No Side Effects,5
4,No Side Effects,5
36,No Side Effects,5
5,Severe Side Effects,5
36,Mild Side Effects,4
80,No Side Effects,5
5,No Side Effects,1
14,No Side Effects,5
17,Moderate Side Effects,2
21,Mild Side Effects,4
9,Mild Side Effects,5
45,Mild Side Effects,5
22,No Side Effects,5
0,Mild Side Effects,2
12,No Side Effects,1
1,Extremely Severe Side Effects,3
22,Moderate Side Effects,5
1,Mild Side Effects,5
16,Moderate Side Effects,4
10,Moderate Side Effects,1
4,No Side Effects,5
9,No Side Effects,1
15,Moderate Side Effects,5
34,Moderate Side Effects,5
0,Moderate Side Effects,5
159,Mild Side Effects,5
35,Mild Side Effects,2
14,Moderate Side Effects,5
9,Mild Side Effects,4
35,Severe Side Effects,1
58,Mild Side Effects,5
31,No Side Effects,1
22,Severe Side Effects,4
22,Moderate Side Effects,4
3,Mild Side Effects,1
6,Moderate Side Effects,3
7,Severe Side Effects,5
15,No Side Effects,2
0,Moderate Side Effects,5
19,Severe Side Effects,5
4,No Side Effects,1
24,Moderate Side Effects,5
0,Severe Side Effects,1
5,Moderate Side Effects,5
12,Mild Side Effects,5
60,No Side Effects,5
2,Mild Side Effects,2
11,Mild Side Effects,3
15,No Side Effects,1
11,Mild Side Effects,5
12,Severe Side Effects,5
10,Moderate Side Effects,5
2,Mild Side Effects,3
21,Mild Side Effects,5
224,Moderate Side Effects,5
14,No Side Effects,1
14,No Side Effects,1
24,Moderate Side Effects,1
21,Moderate Side Effects,2
4,No Side Effects,3
63,No Side Effects,5
12,Mild Side Effects,5
26,No Side Effects,5
80,Moderate Side Effects,5
6,Extremely Severe Side Effects,4
18,Severe Side Effects,1
2,No Side Effects,1
84,No Side Effects,5
16,Mild Side Effects,5
22,Mild Side Effects,5
2,Severe Side Effects,3
8,Severe Side Effects,2
2,Severe Side Effects,3
2,Mild Side Effects,5
28,No Side Effects,5
26,No Side Effects,3
11,Mild Side Effects,5
6,Moderate Side Effects,5
13,No Side Effects,5
47,Moderate Side Effects,4
7,No Side Effects,2
0,Mild Side Effects,4
7,Moderate Side Effects,2
48,Moderate Side Effects,5
11,Severe Side Effects,2
0,Severe Side Effects,3
3,Severe Side Effects,2
62,No Side Effects,5
82,Severe Side Effects,5
6,Mild Side Effects,2
32,Mild Side Effects,5
18,Severe Side Effects,4
3,No Side Effects,5
9,Moderate Side Effects,5
12,Moderate Side Effects,2
20,No Side Effects,5
7,No Side Effects,5
16,Moderate Side Effects,5
14,Mild Side Effects,3
81,Severe Side Effects,4
7,Mild Side Effects,5
10,No Side Effects,1
2,No Side Effects,2
23,Mild Side Effects,1
10,Mild Side Effects,5
1,Moderate Side Effects,1
25,Mild Side Effects,5
28,Mild Side Effects,5
30,Mild Side Effects,5
19,Severe Side Effects,3
2,Mild Side Effects,5
12,Moderate Side Effects,3
9,Moderate Side Effects,5
7,Mild Side Effects,5
23,Extremely Severe Side Effects,5
30,No Side Effects,5
2,No Side Effects,3
11,Severe Side Effects,5
43,No Side Effects,5
7,No Side Effects,5
9,Mild Side Effects,5
1,Mild Side Effects,5
59,Mild Side Effects,5
27,Severe Side Effects,5
8,Moderate Side Effects,4
4,No Side Effects,1
25,No Side Effects,5
28,Mild Side Effects,5
41,Severe Side Effects,5
1,Mild Side Effects,4
13,Moderate Side Effects,5
25,Moderate Side Effects,5
142,Mild Side Effects,5
31,Moderate Side Effects,5
5,Moderate Side Effects,5
3,No Side Effects,5
0,Mild Side Effects,3
110,Severe Side Effects,5
20,Mild Side Effects,5
4,Moderate Side Effects,5
12,Mild Side Effects,4
28,Severe Side Effects,4
7,Mild Side Effects,5
29,Mild Side Effects,4
3,Severe Side Effects,1
21,Moderate Side Effects,5
52,No Side Effects,5
1,Moderate Side Effects,2
24,Extremely Severe Side Effects,1
20,Moderate Side Effects,5
11,Moderate Side Effects,4
0,Moderate Side Effects,2
42,Moderate Side Effects,5
1,Mild Side Effects,3
37,Severe Side Effects,5
3,Moderate Side Effects,1
31,Mild Side Effects,1
25,Mild Side Effects,4
5,Moderate Side Effects,1
17,Mild Side Effects,4
44,Mild Side Effects,1
90,No Side Effects,5
15,No Side Effects,2
68,Moderate Side Effects,4
5,Mild Side Effects,5
175,No Side Effects,4
0,Severe Side Effects,5
4,Moderate Side Effects,5
4,Moderate Side Effects,2
40,No Side Effects,4
66,Moderate Side Effects,4
8,Mild Side Effects,4
3,Moderate Side Effects,5
171,Mild Side Effects,5
8,No Side Effects,1
9,Moderate Side Effects,3
